Dist	TrNo	Zone	X,m	Y,m	Alt, m	TD, ns	Hice, m	Bed,m
30198,816	7007	33X	514274,2674	8560745,28	317,2505	3395	285,18	32,0705
30204,913	7008	33X	514276,5514	8560750,917	317,5782	3390	284,76	32,8182
30211,063	7009	33X	514278,9321	8560756,571	317,1494	3385	284,34	32,8094
30217,301	7010	33X	514281,4374	8560762,267	316,7027	3380	283,92	32,7827
30223,666	7011	33X	514284,0955	8560768,03	316,2268	3370	283,08	33,1468
30230,154	7012	33X	514286,9122	8560773,853	315,7148	3365	282,66	33,0548
30236,608	7013	33X	514289,8039	8560779,598	315,1781	3360	282,24	32,9381
30242,83	7014	33X	514292,6643	8560785,096	315,3827	3355	281,82	33,5627
30248,62	7015	33X	514295,3874	8560790,177	314,0944	3350	281,4	32,6944
30253,854	7016	33X	514297,9041	8560794,737	314,3263	3345	280,98	33,3463
30258,71	7017	33X	514300,2935	8560798,935	313,0787	3340	280,56	32,5187
30263,439	7018	33X	514302,6714	8560802,994	312,5993	3340	280,56	32,0393
